# 直播源重分类结果
# 生成时间: 2026-09-22 13:43:00 (北京时间)
# 数据来源: https://github.com/q1017673817/iptvz/blob/main/zubo_all.txt

央视频道,#genre#
CCTV-1综合,http://220.167.170.229:4000/rtp/239.120.1.119:8260$青海电信1
CCTV-1综合,http://220.167.170.229:4000/rtp/239.120.1.120:8778$青海电信1
CCTV-2财经,http://220.167.170.229:4000/rtp/239.120.1.223:9484$青海电信1
CCTV-3综艺,http://220.167.170.229:4000/rtp/239.120.1.88:9420$青海电信1
CCTV-4中文国际,http://220.167.170.229:4000/rtp/239.120.1.159:9012$青海电信1
CCTV-5体育,http://220.167.170.229:4000/rtp/239.120.1.46:8248$青海电信1
CCTV-6电影,http://220.167.170.229:4000/rtp/239.120.1.49:8252$青海电信1
CCTV-7国防军事,http://220.167.170.229:4000/rtp/239.120.1.224:9490$青海电信1
CCTV-8电视剧,http://220.167.170.229:4000/rtp/239.120.1.50:8308$青海电信1
CCTV-9纪录,http://220.167.170.229:4000/rtp/239.120.1.227:9496$青海电信1
CCTV-10科教,http://220.167.170.229:4000/rtp/239.120.1.250:9448$青海电信1
CCTV-11戏曲,http://220.167.170.229:4000/rtp/239.120.1.163:9036$青海电信1
CCTV-12社会与法,http://220.167.170.229:4000/rtp/239.120.1.230:9502$青海电信1
CCTV-13新闻,http://220.167.170.229:4000/rtp/239.120.1.165:9048$青海电信1
CCTV-14少儿,http://220.167.170.229:4000/rtp/239.120.1.193:8284$青海电信1
CCTV-15音乐,http://220.167.170.229:4000/rtp/239.120.1.167:9060$青海电信1
CCTV-16奥林匹克,http://220.167.170.229:4000/rtp/239.120.1.252:9554$青海电信1
CCTV-17农业农村,http://220.167.170.229:4000/rtp/239.120.1.68:8370$青海电信1
CCTV-5+体育赛事,http://220.167.170.229:4000/rtp/239.120.1.245:9428$青海电信1
中国教育1台,http://220.167.170.229:4000/rtp/239.120.1.133:8856$青海电信1
中国教育2台,http://220.167.170.229:4000/rtp/239.120.1.44:8238$青海电信1
中国教育4台,http://220.167.170.229:4000/rtp/239.120.1.45:8244$青海电信1
CGTN,http://220.167.170.229:4000/rtp/239.120.1.161:9024$青海电信1
CCTV-1综合,http://36.49.50.4:8800/rtp/239.37.0.235:5540$吉林电信1
CCTV-1综合,http://36.49.50.4:8800/rtp/239.37.0.224:5540$吉林电信1
CCTV-1综合,http://36.49.50.4:8800/rtp/239.37.0.149:5540$吉林电信1
CCTV-1综合,http://36.49.50.4:8800/rtp/239.37.0.224:5540$吉林电信1
CCTV-1综合,http://36.49.50.4:8800/rtp/239.37.0.152:5540$吉林电信1
CCTV-3综艺,http://36.49.50.4:8800/rtp/239.37.0.231:5540$吉林电信1
CCTV-5体育,http://36.49.50.4:8800/rtp/239.37.0.232:5540$吉林电信1
CCTV-5+体育赛事,http://36.49.50.4:8800/rtp/239.37.0.121:5540$吉林电信1
CCTV-6电影,http://36.49.50.4:8800/rtp/239.37.0.233:5540$吉林电信1
CCTV-8电视剧,http://36.49.50.4:8800/rtp/239.37.0.234:5540$吉林电信1
中国教育1台,http://36.49.50.4:8800/rtp/239.37.0.193:5540$吉林电信1
中国教育1台,http://36.49.50.4:8800/rtp/239.37.0.167:5540$吉林电信1
CCTV-1综合,http://1.192.242.239:8188/rtp/239.16.20.1:10010$河南电信1
CCTV-2财经,http://1.192.242.239:8188/rtp/239.16.20.2:10020$河南电信1
CCTV-3综艺,http://1.192.242.239:8188/rtp/239.16.20.3:10030$河南电信1
CCTV-4中文国际,http://1.192.242.239:8188/rtp/239.16.20.4:10040$河南电信1
CCTV-5体育,http://1.192.242.239:8188/rtp/239.16.20.53:10530$河南电信1
CCTV-5+体育赛事,http://1.192.242.239:8188/rtp/239.16.20.5:10050$河南电信1
CCTV-6电影,http://1.192.242.239:8188/rtp/239.16.20.6:10060$河南电信1
CCTV-7国防军事,http://1.192.242.239:8188/rtp/239.16.20.51:10510$河南电信1
CCTV-8电视剧,http://1.192.242.239:8188/rtp/239.16.20.8:10080$河南电信1
CCTV-9纪录,http://1.192.242.239:8188/rtp/239.16.20.9:10090$河南电信1
CCTV-10科教,http://1.192.242.239:8188/rtp/239.16.20.10:10100$河南电信1
CCTV-11戏曲,http://1.192.242.239:8188/rtp/239.16.20.11:10110$河南电信1
CCTV-12社会与法,http://1.192.242.239:8188/rtp/239.16.20.12:10120$河南电信1
CCTV-13新闻,http://1.192.242.239:8188/rtp/239.16.20.13:10130$河南电信1
CCTV-14少儿,http://1.192.242.239:8188/rtp/239.16.20.14:10140$河南电信1
CCTV-15音乐,http://1.192.242.239:8188/rtp/239.16.20.15:10150$河南电信1
CCTV-17农业农村,http://1.192.242.239:8188/rtp/239.16.20.7:10070$河南电信1
中国教育1台,http://1.192.242.239:8188/rtp/239.16.20.78:10780$河南电信1
CCTV-5+体育赛事,http://1.192.242.239:8188/rtp/239.16.20.128:11280$河南电信1
CCTV-5+体育赛事,http://1.192.242.239:8188/rtp/239.16.20.215:12150$河南电信1
CCTV-1综合,http://113.58.31.23:8188/rtp/239.254.96.82:7640$海南联通1
CCTV-2财经,http://113.58.31.23:8188/rtp/239.254.96.124:7084$海南联通1
CCTV-3综艺,http://113.58.31.23:8188/rtp/239.254.96.67:7520$海南联通1
CCTV-4中文国际,http://113.58.31.23:8188/rtp/239.254.96.180:7092$海南联通1
CCTV-5体育,http://113.58.31.23:8188/rtp/239.254.96.66:7512$海南联通1
CCTV-5+体育赛事,http://113.58.31.23:8188/rtp/239.254.96.83:7004$海南联通1
CCTV-6电影,http://113.58.31.23:8188/rtp/239.254.96.63:7488$海南联通1
CCTV-7国防军事,http://113.58.31.23:8188/rtp/239.254.96.125:7104$海南联通1
CCTV-8电视剧,http://113.58.31.23:8188/rtp/239.254.96.62:7480$海南联通1
CCTV-9纪录,http://113.58.31.23:8188/rtp/239.254.96.126:7112$海南联通1
CCTV-10科教,http://113.58.31.23:8188/rtp/239.254.96.127:7116$海南联通1
CCTV-11戏曲,http://113.58.31.23:8188/rtp/239.254.96.187:8166$海南联通1
CCTV-12社会与法,http://113.58.31.23:8188/rtp/239.254.96.128:7124$海南联通1
CCTV-14少儿,http://113.58.31.23:8188/rtp/239.254.96.129:7132$海南联通1
CCTV-15音乐,http://113.58.31.23:8188/rtp/239.254.96.188:8170$海南联通1
CCTV-16奥林匹克,http://113.58.31.23:8188/rtp/239.254.96.170:8206$海南联通1
CCTV-17农业农村,http://113.58.31.23:8188/rtp/239.254.96.57:8204$海南联通1
中国教育1台,http://113.58.31.23:8188/rtp/239.254.96.155:7152$海南联通1
中国教育4台,http://113.58.31.23:8188/rtp/239.254.96.169:8148$海南联通1
CGTN-纪录,http://113.58.31.23:8188/rtp/239.254.96.58:7448$海南联通1
CGTN,http://113.58.31.23:8188/rtp/239.254.96.16:7112$海南联通1
CCTV-1综合,http://219.156.32.34:4022/rtp/225.1.4.73:1102$河南联通1
CCTV-2财经,http://219.156.32.34:4022/rtp/225.1.4.74:1103$河南联通1
CCTV-3综艺,http://219.156.32.34:4022/rtp/225.1.4.158:1194$河南联通1
CCTV-4中文国际,http://219.156.32.34:4022/rtp/225.1.5.30:1333$河南联通1
CCTV-5体育,http://219.156.32.34:4022/rtp/225.1.4.159:1195$河南联通1
CCTV-5+体育赛事,http://219.156.32.34:4022/rtp/225.1.4.75:1104$河南联通1
CCTV-6电影,http://219.156.32.34:4022/rtp/225.1.4.160:1196$河南联通1
CCTV-7国防军事,http://219.156.32.34:4022/rtp/225.1.4.76:1105$河南联通1
CCTV-8电视剧,http://219.156.32.34:4022/rtp/225.1.4.161:1197$河南联通1
CCTV-9纪录,http://219.156.32.34:4022/rtp/225.1.4.77:1106$河南联通1
CCTV-10科教,http://219.156.32.34:4022/rtp/225.1.4.78:1107$河南联通1
CCTV-11戏曲,http://219.156.32.34:4022/rtp/225.1.4.215:1268$河南联通1
CCTV-12社会与法,http://219.156.32.34:4022/rtp/225.1.4.79:1108$河南联通1
CCTV-13新闻,http://219.156.32.34:4022/rtp/225.1.4.113:1293$河南联通1
CCTV-14少儿,http://219.156.32.34:4022/rtp/225.1.4.80:1109$河南联通1
CCTV-15音乐,http://219.156.32.34:4022/rtp/225.1.4.216:1269$河南联通1
CCTV-17农业农村,http://219.156.32.34:4022/rtp/225.1.4.226:2506$河南联通1
中国教育1台,http://219.156.32.34:4022/rtp/225.1.4.173:1712$河南联通1
中国教育2台,http://219.156.32.34:4022/rtp/225.1.4.165:1206$河南联通1
中国教育4台,http://219.156.32.34:4022/rtp/225.1.4.171:1710$河南联通1
CCTV-4欧洲,http://219.156.32.34:4022/rtp/225.1.5.31:1342$河南联通1
CCTV-4美洲,http://219.156.32.34:4022/rtp/225.1.5.32:1343$河南联通1
CGTN,http://219.156.32.34:4022/rtp/225.1.5.34:1344$河南联通1
CGTN-纪录,http://219.156.32.34:4022/rtp/225.1.5.35:1345$河南联通1
CGTN-西班牙语,http://219.156.32.34:4022/rtp/225.1.5.36:1346$河南联通1
CGTN-法语,http://219.156.32.34:4022/rtp/225.1.5.37:1347$河南联通1
CGTN-阿拉伯语,http://219.156.32.34:4022/rtp/225.1.5.38:1348$河南联通1
CGTN-俄语,http://219.156.32.34:4022/rtp/225.1.5.39:1349$河南联通1
CCTV-1综合,http://114.254.37.121:8888/rtp/239.3.1.129:8008$北京联通2
CCTV-2财经,http://114.254.37.121:8888/rtp/239.3.1.60:8084$北京联通2
CCTV-3综艺,http://114.254.37.121:8888/rtp/239.3.1.172:8001$北京联通2
CCTV-4中文国际,http://114.254.37.121:8888/rtp/239.3.1.105:8092$北京联通2
CCTV-5体育,http://114.254.37.121:8888/rtp/239.3.1.173:8001$北京联通2
CCTV-5+体育赛事,http://114.254.37.121:8888/rtp/239.3.1.130:8004$北京联通2
CCTV-6电影,http://114.254.37.121:8888/rtp/239.3.1.174:8001$北京联通2
CCTV-7国防军事,http://114.254.37.121:8888/rtp/239.3.1.61:8104$北京联通2
